| tabela                           | e_view | campo                  | tipo                        | obrigatorio | chave_primaria | chave_unica | tabela_relacionada    | campo_relacionado | comentario |
| v_detalhes_webhook_reservas      | true   | recebido_em            | timestamp without time zone | false       | false          | false       | null                  | null              | null       |
| v_estrutura_detalhada            | true   | tabela                 | name                        | false       | false          | false       | null                  | null              | null       |
| v_estrutura_detalhada            | true   | e_view                 | boolean                     | false       | false          | false       | null                  | null              | null       |
| v_estrutura_detalhada            | true   | campo                  | name                        | false       | false          | false       | null                  | null              | null       |
| v_estrutura_detalhada            | true   | tipo                   | character varying           | false       | false          | false       | null                  | null              | null       |
| v_estrutura_detalhada            | true   | obrigatorio            | boolean                     | false       | false          | false       | null                  | null              | null       |
| v_estrutura_detalhada            | true   | chave_primaria         | boolean                     | false       | false          | false       | null                  | null              | null       |
| v_estrutura_detalhada            | true   | chave_unica            | boolean                     | false       | false          | false       | null                  | null              | null       |
| v_estrutura_detalhada            | true   | tabela_relacionada     | name                        | false       | false          | false       | null                  | null              | null       |
| v_estrutura_detalhada            | true   | campo_relacionado      | name                        | false       | false          | false       | null                  | null              | null       |
| v_estrutura_detalhada            | true   | comentario             | text                        | false       | false          | false       | null                  | null              | null       |
| v_reservas_usuario               | true   | id                     | uuid                        | false       | false          | false       | null                  | null              | null       |
| v_reservas_usuario               | true   | usuario_id             | uuid                        | false       | false          | false       | null                  | null              | null       |
| v_reservas_usuario               | true   | checkin                | date                        | false       | false          | false       | null                  | null              | null       |
| v_reservas_usuario               | true   | checkout               | date                        | false       | false          | false       | null                  | null              | null       |
| v_reservas_usuario               | true   | tipo_quarto            | text                        | false       | false          | false       | null                  | null              | null       |
| v_reservas_usuario               | true   | status                 | text                        | false       | false          | false       | null                  | null              | null       |
| v_reservas_usuario               | true   | horario_checkin        | text                        | false       | false          | false       | null                  | null              | null       |
| v_reservas_usuario               | true   | suite_id               | uuid                        | false       | false          | false       | null                  | null              | null       |
| v_reservas_usuario               | true   | suite_nome             | text                        | false       | false          | false       | null                  | null              | null       |
| v_vouchers_usuario               | true   | voucher_id             | uuid                        | false       | false          | false       | null                  | null              | null       |
| v_vouchers_usuario               | true   | usuario_id             | uuid                        | false       | false          | false       | null                  | null              | null       |
| v_vouchers_usuario               | true   | resgatado_em           | timestamp without time zone | false       | false          | false       | null                  | null              | null       |
| v_vouchers_usuario               | true   | pontos_gastos          | integer                     | false       | false          | false       | null                  | null              | null       |
| v_vouchers_usuario               | true   | titulo                 | text                        | false       | false          | false       | null                  | null              | null       |
| v_vouchers_usuario               | true   | descricao              | text                        | false       | false          | false       | null                  | null              | null       |
| v_vouchers_usuario               | true   | icone                  | text                        | false       | false          | false       | null                  | null              | null       |
| v_vouchers_usuario               | true   | pontos_necessarios     | integer                     | false       | false          | false       | null                  | null              | null       |
| v_vouchers_usuario               | true   | categoria_id           | uuid                        | false       | false          | false       | null                  | null              | null       |
| v_vouchers_usuario               | true   | url_imagens            | jsonb                       | false       | false          | false       | null                  | null              | null       |
| vouchers                         | false  | id                     | uuid                        | true        | true           | false       | null                  | null              | null       |
| vouchers                         | false  | usuario_id             | uuid                        | false       | false          | false       | usuarios              | id                | null       |
| vouchers                         | false  | parceiro_id            | uuid                        | false       | false          | false       | parceiros             | id                | null       |
| vouchers                         | false  | titulo                 | text                        | true        | false          | false       | null                  | null              | null       |
| vouchers                         | false  | pontos                 | integer                     | true        | false          | false       | null                  | null              | null       |
| vouchers                         | false  | status                 | text                        | false       | false          | false       | null                  | null              | null       |
